Ticker|Name|CIK|SIC
LKQ|LKQ|0001065696|5010
LMT|Lockheed Martin|0000936468|3760
L|Loews Corporation|0000060086|6331
LOGM|Logmein|0001420302|7372
LOW|Lowe's|0000060667|5211
LPLA|LPL Financial|0001397911|6200
LULU|Lululemon Athletica|0001397187|2300
LYFT|Lyft|0001759509|7389
LYB|LyondellBasell|0001489393|2860
MTB|M&T Bank|0000036270|6022
MAC|Macerich|0000912242|6798
MIC|Macquarie Infrastructure Corporation|0001289790|5172
M|Macy's|0000794367|5311
MSG|Madison Square Garden|0001636519|7990
MANH|Manhattan Associates|0001056696|7372
MAN|ManpowerGroup|0000871763|7363
MRO|Marathon Oil|0000101778|1311
MPC|Marathon Petroleum|0001510295|2911
MKL|Markel Corporation|0001096343|6331
MKTX|MarketAxess|0001278021|6211
MAR|Marriott International|0001048286|7011
MMC|Marsh & McLennan Companies|0000062709|6411
MLM|Martin Marietta|0000916076|1400
MRVL|Marvell Technology|0001058057|3674
MAS|Masco|0000062996|2430
MASI|Masimo|0000937556|3845
MA|Mastercard|0001141391|7389
MTCH|Match Group|0001575189|7370
MAT|Mattel|0000063276|3942
MXIM|Maxim Integrated|0000743316|3674
MKC|McCormick & Company|0000063754|2090
MCD|McDonald's|0000063908|5812
MCK|McKesson|0000927653|5122
MDU|MDU Resources|0000067716|1400
MPW|Medical Properties Trust|0001287865|6798
MD|Mednax|0000893949|8060
MDT|Medtronic|0001613103|3845
MRK|Merck & Co|0000310158|2834
LPT|Liberty Property Trust|0000921112|6798
LSXMA|Liberty Sirius XM Series A|0001560385|4833
LSXMK|Liberty Sirius XM Series C|0001560385|4833
LSI|Life Storage|0000944314|6798
CPRI|Capri Holdings|0001530721|3100
MIK|The Michaels Companies|0001593936|5945
MCHP|Microchip Technology|0000827054|3674
MU|Micron Technology|0000723125|3674
MSFT|Microsoft|0000789019|7372
MAA|Mid-America Apartment Communities|0000912595|6798
MIDD|Middleby Corporation|0000769520|3580
MKSI|MKS Instruments|0001049502|3823
MHK|Mohawk Industries|0000851968|2273
MOH|Molina Healthcare|0001179929|6324
TAP|Molson Coors Brewing|0000024545|2082
MDLZ|Mondelez International|0001103982|2000
MPWR|Monolithic Power Systems|0001280452|3674
MNST|Monster Beverage|0000865752|2086
MCO|Moody's Corporation|0001059556|7320
MS|Morgan Stanley|0000895421|6211
MORN|Morningstar, Inc.|0001289419|6282
MOS|The Mosaic Company|0001285785|2870
MSI|Motorola Solutions|0000068505|3663
MSM|MSC Industrial Direct|0001003078|5084
MSCI|MSCI|0001408198|7389
MUR|Murphy Oil|0000717423|1311
MYL|Mylan|0001623613|2834
NBR|Nabors Industries|0001163739|1381
NDAQ|Nasdaq, Inc.|0001120193|6200
NFG|National Fuel Gas|0000070145|4924
NATI|National Instruments|0000935494|7372
NOV|National Oilwell Varco|0001021860|3533
NNN|National Retail Properties|0000751364|6798
NAVI|Navient Corporation|0001593538|6211
NCR|NCR Corporation|0000070866|3578
NKTR|Nektar Therapeutics|0000906709|2834
NTAP|Netapp|0001002047|3572
NFLX|Netflix|0001065280|7841
NBIX|Neurocrine Biosciences|0000914475|2836
NRZ|New Residential Invt|0001556593|6798
NYCB|New York Community Bank|0000910073|6036
NWL|Newell Brands|0000814453|3089
NEU|Newmarket Corporation|0001282637|2860
NEM|Newmont Mining|0001164727|1040
NWSA|News Corp Class A|0001564708|2711
NWS|News Corp Class B|0001564708|2711
MCY|Mercury General|0000064996|6331
MET|Metlife|0001099219|6311
MTD|Mettler Toledo|0001037646|3826
MFA|MFA Financial|0001055160|6798
MGM|MGM Resorts International|0000789570|7011
JWN|Nordstrom|0000072333|5651
NSC|Norfolk Southern Railway|0000702165|4011
NTRS|Northern Trust|0000073124|6022
NOC|Northrop Grumman|0001133421|3812
NLOK|NortonLifeLock|0000849399|7372
NCLH|Norwegian Cruise Line|0001513761|4400
NRG|NRG Energy|0001013871|4911
NUS|Nu Skin Enterprises|0001021561|5122
NUAN|Nuance Communications|0001002517|7372
NUE|Nucor|0000073309|3312
NTNX|Nutanix|0001618732|7372
NVT|Nvent Electric|0001720635|3550
NVDA|Nvidia|0001045810|3674
NVR|NVR, Inc.|0000906163|1531
NXPI|NXP Semiconductors|0001413447|3674
ORLY|O'Reilly Auto Parts|0000898173|5531
OXY|Occidental Petroleum|0000797468|1311
OGE|Oklahoma Gas & Electric|0001021635|4911
OKTA|Okta|0001660134|7372
ODFL|Old Dominion Freight Line|0000878927|4213
ORI|Old Republic International|0000074260|6351
OLN|Olin Corporation|0000074303|2800
OHI|Omega Healthcare Investors|0000888491|6798
OMC|Omnicom Group|0000029989|7311
ON|ON Semiconductor|0001097864|3674
OMF|OneMain Financial|0001584207|6141
OKE|Oneok|0001039684|4923
ORCL|Oracle Corporation|0001341439|7372
OSK|Oshkosh Corporation|0000775158|3711
OUT|Outfront Media|0001579877|6798
OC|Owens Corning|0001370946|3290
OI|Owens Illinois|0000812074|3221
PCAR|Paccar|0000075362|3711
PKG|Packaging Corporation of America|0000075677|2650
PACW|Pacwest Bancorp|0001102112|6021
PANW|Palo Alto Networks|0001327567|3577
PGRE|Paramount Group|0001605607|6798
PK|Park Hotels & Resorts|0001617406|7011
PH|Parker Hannifin|0000076334|3490
PE|Parsley Energy|0001594466|1311
PTEN|Patterson-UTI|0000889900|1381
PAYX|Paychex|0000723531|8700
PAYC|Paycom|0001590955|7372
PYPL|PayPal|0001633917|7389
NEE|NextEra Energy|0000753308|4911
NLSN|Nielsen Holdings|0001492633|7389
NKE|Nike, Inc.|0000320187|3021
NI|Nisource|0001111711|4931
NBL|Noble Energy|0000072207|1311
NDSN|Nordson Corporation|0000072331|3569
PEP|Pepsico|0000077476|2080
PKI|PerkinElmer|0000031791|3826
PRGO|Perrigo|0001585364|2834
PFE|Pfizer|0000078003|2834
PCG|PG&E|0001004980|4931
PM|Philip Morris International|0001413329|2111
PSX|Phillips 66|0001534701|2911
PPC|Pilgrim's Pride|0000802481|2015
PNFP|Pinnacle Financial Partners|0001115055|6021
PF|Pinnacle Foods|0001564822|2000
PNW|Pinnacle West Capital|0000764622|4911
PXD|Pioneer Natural Resources|0001038357|1311
ESI|Element Solutions|0001590714|2890
PNC|PNC Financial Services|0000713676|6021
PII|Polaris Industries|0000931015|3790
POOL|Pool Corporation|0000945841|5090
BPOP|Popular, Inc.|0000763901|6022
POST|Post Holdings|0001530950|2040
PPG|PPG Industries|0000079879|2851
PPL|PPL|0000922224|4911
PRAH|PRA Health Sciences|0001613859|8731
PINC|Premier|0001577916|8741
TROW|T. Rowe Price|0001113169|6200
PFG|Principal Financial Group|0001126328|6321
PG|Procter & Gamble|0000080424|2840
PGR|Progressive Corporation|0000080661|6331
PLD|Prologis|0001045609|6798
PFPT|Proofpoint, Inc.|0001212458|7374
